열차번호,호선,방향,역사명,급행코드,도착역,예정시간,실제시간,지연시간(분)
23,1,DOWN,인천,0,인천,2025-05-29 07:30:30,2025-05-29 07:31:19,0.8166666666666667
5529,5,DOWN,강동,0,마천,2025-05-29 07:30:40,2025-05-29 07:31:19,0.65
8040,8,UP,동구릉,0,별내,2025-05-29 07:38:00,2025-05-29 07:31:20,-6.666666666666667
8040,8,UP,구리,0,별내,2025-05-29 07:36:00,2025-05-29 07:31:20,-4.666666666666667
8038,8,UP,동구릉,0,별내,2025-05-29 07:33:30,2025-05-29 07:31:20,-2.1666666666666665
3065,3,DOWN,주엽,0,오금,2025-05-29 07:32:00,2025-05-29 07:31:21,-0.65
3040,3,UP,정발산,0,대화,2025-05-29 07:31:30,2025-05-29 07:31:21,-0.15
423,1,DOWN,석계,0,서동탄,2025-05-29 07:32:00,2025-05-29 07:31:22,-0.6333333333333333
7063,7,DOWN,중곡,0,석남,2025-05-29 07:31:20,2025-05-29 07:31:22,0.03333333333333333
616,1,UP,성환,0,광운대,2025-05-29 07:31:00,2025-05-29 07:31:22,0.36666666666666664
7075,7,DOWN,수락산,0,석남,2025-05-29 07:31:50,2025-05-29 07:31:22,-0.4666666666666667
7069,7,DOWN,태릉입구,0,온수,2025-05-29 07:31:20,2025-05-29 07:31:22,0.03333333333333333
22,1,UP,영등포,0,의정부,2025-05-29 07:31:00,2025-05-29 07:31:23,0.38333333333333336
1026,1,UP,부천,1,용산,2025-05-29 07:30:00,2025-05-29 07:31:26,1.4333333333333333
8052,8,UP,가락시장,0,별내,2025-05-29 07:40:00,2025-05-29 07:31:28,-8.533333333333333
4529,4,DOWN,명동,0,오이도,2025-05-29 07:30:00,2025-05-29 07:31:29,1.4833333333333334
4021,4,DOWN,서울,0,사당,2025-05-29 07:30:30,2025-05-29 07:31:29,0.9833333333333333
3047,3,DOWN,불광,0,수서,2025-05-29 07:31:00,2025-05-29 07:31:29,0.48333333333333334
6037,6,DOWN,증산(명지대앞),0,봉화산,2025-05-29 07:30:30,2025-05-29 07:31:30,1.0
6025,6,DOWN,고려대,0,봉화산,2025-05-29 07:31:40,2025-05-29 07:31:31,-0.15
7050,7,UP,천왕,0,도봉산,2025-05-29 07:31:20,2025-05-29 07:31:32,0.2
7054,7,UP,부천종합운동장,0,도봉산,2025-05-29 07:31:30,2025-05-29 07:31:32,0.03333333333333333
8036,8,UP,다산,0,별내,2025-05-29 07:31:50,2025-05-29 07:31:33,-0.2833333333333333
53,1,DOWN,덕정,0,부평,2025-05-29 07:32:30,2025-05-29 07:31:33,-0.95
1039,1,DOWN,신도림,1,동인천,2025-05-29 07:32:00,2025-05-29 07:31:35,-0.4166666666666667
3062,3,UP,충무로,0,대화,2025-05-29 07:30:30,2025-05-29 07:31:37,1.1166666666666667
4523,4,DOWN,인덕원,0,오이도,2025-05-29 07:31:00,2025-05-29 07:31:38,0.6333333333333333
5027,5,DOWN,영등포시장,0,하남검단산,2025-05-29 07:31:40,2025-05-29 07:31:39,-0.016666666666666666
5539,5,DOWN,충정로,0,마천,2025-05-29 07:31:10,2025-05-29 07:31:39,0.48333333333333334
5533,5,DOWN,장한평,0,마천,2025-05-29 07:31:30,2025-05-29 07:31:39,0.15
3072,3,UP,남부터미널,0,대화,2025-05-29 07:31:30,2025-05-29 07:31:39,0.15
