호선,방향,역사명,급행코드,sched_train,real_train,예정시간,실제시간,지연시간(분)
1,DOWN,대방,0,45,,2025-06-09 08:21:30,,
1,DOWN,대방,0,627,,2025-06-09 08:25:30,,
1,DOWN,대방,0,49,,2025-06-09 08:36:00,,
1,DOWN,대방,0,427,,2025-06-09 08:39:30,,
1,DOWN,대방,0,51,,2025-06-09 08:46:30,,
1,DOWN,대방,0,629,,2025-06-09 08:49:30,,
1,DOWN,대방,0,53,,2025-06-09 08:52:30,,
1,DOWN,대방,0,55,,2025-06-09 08:59:00,,
1,DOWN,대방,0,429,,2025-06-09 09:02:30,,
1,DOWN,대방,0,57,,2025-06-09 09:06:30,,
1,DOWN,대방,0,59,,2025-06-09 09:11:00,,
1,DOWN,대방,0,631,,2025-06-09 09:14:00,,
1,DOWN,대방,0,61,,2025-06-09 09:18:30,,
1,DOWN,대방,1,1905,1905,2025-06-09 07:34:00,2025-06-09 07:35:40,1.6666666666666667
1,DOWN,대방,1,1259,1259,2025-06-09 07:36:30,2025-06-09 07:37:15,0.75
1,DOWN,대방,1,1405,1405,2025-06-09 08:44:30,2025-06-09 08:46:22,1.8666666666666667
1,DOWN,대방,1,1417,1417,2025-06-09 09:21:30,2025-06-09 09:21:28,-0.03333333333333333
1,DOWN,대방,1,1047,,2025-06-09 07:45:30,,
1,DOWN,대방,1,1049,,2025-06-09 07:52:30,,
1,DOWN,대방,1,1261,,2025-06-09 07:57:30,,
1,DOWN,대방,1,1051,,2025-06-09 08:06:30,,
1,DOWN,대방,1,1907,,2025-06-09 08:07:00,,
1,DOWN,대방,1,1053,,2025-06-09 08:12:30,,
1,DOWN,대방,1,1601,,2025-06-09 08:15:00,,
1,DOWN,대방,1,1055,,2025-06-09 08:17:30,,
1,DOWN,대방,1,1057,,2025-06-09 08:27:30,,
